date,Bx,By,Bz,Mx,My,Mz,dst
20011001 15:30,-102.44,-14.32,14.17,-39.58,133.36,-53.61,-104.00
20011002 12:30,-99.12,-15.68,16.78,-52.07,138.36,-58.76,-102.50
20011003 09:30,-136.00,-33.78,14.47,-50.16,143.02,-61.85,-110.50
20011003 10:30,-118.53,-24.27,21.18,-48.79,151.51,-63.79,-127.00
20011003 11:30,-144.05,-4.88,25.17,-69.87,166.51,-64.86,-148.00
20011003 16:30,-120.54,-29.84,17.77,-91.77,117.41,-75.09,-148.50
20011003 17:30,-113.63,-25.25,19.14,-97.23,120.08,-77.82,-132.50
20011003 18:30,-98.92,-21.28,17.61,-75.60,129.33,-78.54,-119.50
20011003 19:30,-89.15,-24.29,8.97,-65.33,130.68,-79.06,-115.50
20011003 20:30,-90.68,-20.43,9.67,-54.46,128.17,-79.06,-114.00
20011003 21:30,-95.38,-15.09,8.78,-51.55,127.07,-78.14,-115.00
20011003 22:30,-107.71,-11.43,9.22,-75.63,107.63,-74.85,-109.00
20011021 18:30,-88.92,14.02,15.32,-55.76,1.25,7.25,-104.00
20011021 19:30,-74.83,-13.88,8.25,-69.84,-14.84,7.67,-142.50
20011022 07:30,-158.77,-32.55,22.66,-144.08,-18.01,28.09,-148.50
20011022 08:30,-143.38,-30.50,22.31,-122.75,-16.98,27.17,-136.50
20011022 09:30,-137.13,-27.33,22.63,-117.01,-8.92,26.01,-136.50
20011022 10:30,-151.02,-27.50,22.36,-132.51,-8.65,26.88,-141.50
20011022 11:30,-126.03,-20.65,27.18,-120.06,-9.75,25.99,-138.50
20011022 12:30,-112.66,-8.32,23.69,-111.21,-11.58,22.75,-140.00
20011022 13:30,-131.16,-14.25,22.09,-128.90,-24.02,22.36,-136.50
20011022 14:30,-102.24,-9.39,23.19,-100.37,-19.62,18.74,-135.00
20011022 15:30,-90.30,-10.29,20.00,-116.45,-15.58,14.28,-140.00
20011022 16:30,-106.39,-17.03,17.24,-105.20,-22.03,13.22,-142.00
20011022 17:30,-96.06,-27.31,15.06,-103.12,-11.00,12.61,-140.00
20011022 18:30,-116.93,-9.80,17.28,-119.91,-10.03,10.81,-143.50
20011023 00:30,-163.86,-33.93,13.81,-172.15,-27.89,24.62,-148.50
20011023 01:30,-144.91,-36.82,12.53,-140.82,-6.89,25.38,-128.00
20011023 02:30,-135.05,-36.98,13.41,-126.50,-8.65,25.78,-127.00
20011023 03:30,-141.51,-34.30,15.09,-128.60,-4.12,26.45,-127.50
20011023 04:30,-134.93,-31.11,15.54,-124.80,-8.84,25.76,-125.00
20011023 05:30,-139.44,-36.10,13.98,-136.71,-9.29,25.46,-126.00
20011023 06:30,-143.73,-32.59,17.54,-132.36,-12.71,25.59,-123.00
20011023 07:30,-135.58,-30.75,17.68,-119.01,-16.03,25.02,-117.00
