date,Bx,By,Bz,Mx,My,Mz,dst
19970903 20:30,-44.69,-22.12,16.83,-18.79,-24.56,6.83,-71.00
19970903 21:30,-80.03,-16.72,13.80,-49.33,-10.87,5.97,-93.50
19970903 22:30,-89.13,2.30,15.67,-59.15,7.99,7.83,-88.00
19970903 23:30,-93.39,5.04,19.83,-67.61,13.09,7.48,-69.00
19970904 00:30,-73.36,11.75,28.62,-51.89,12.64,6.44,-59.50
19970904 01:30,-57.30,14.56,22.58,-43.74,11.02,4.06,-65.00
19970904 02:30,-83.43,3.23,9.76,-67.47,2.79,3.41,-72.00
19970904 03:30,-93.24,-10.16,9.07,-70.19,-2.31,3.89,-71.50
19970904 04:30,-87.35,-14.47,14.21,-58.22,-7.43,4.27,-68.00
19970904 05:30,-88.31,-15.98,16.78,-59.93,-9.86,5.27,-65.00
19970904 06:30,-84.67,-14.65,19.27,-60.05,-12.61,6.68,-63.50
19970904 07:30,-85.75,-13.95,19.14,-68.47,-14.23,7.80,-60.00
19970904 08:30,-82.41,-10.75,21.40,-70.11,-10.23,9.39,-54.00
19970904 09:30,-69.30,-11.30,24.90,-57.32,-6.72,10.76,-51.00
19970918 04:30,-72.60,-14.30,6.89,-37.01,-3.79,8.22,-54.50
19970918 05:30,-87.89,-24.36,6.83,-58.43,-7.23,8.99,-55.50
19970918 06:30,-80.03,-21.35,17.52,-58.73,-5.49,9.58,-54.50
19970918 07:30,-69.70,-11.18,24.60,-53.61,-6.43,9.49,-51.00
19971001 09:30,-116.70,6.61,10.21,-105.12,6.83,11.91,-53.00
19971001 10:30,-122.98,0.75,9.81,-108.33,4.52,12.23,-57.00
19971001 11:30,-134.00,2.16,15.91,-124.97,6.10,13.03,-53.00
19971001 12:30,-105.74,3.51,18.83,-99.38,3.87,13.64,-61.50
19971001 13:30,-137.78,-6.96,13.08,-126.74,3.94,14.08,-77.00
19971001 14:30,-158.10,-0.29,16.96,-147.73,9.01,16.55,-91.00
19971001 15:30,-154.67,6.42,19.82,-148.53,11.71,17.85,-98.00
19971001 16:30,-117.75,-6.33,26.15,-97.18,-5.88,16.00,-94.50
19971001 17:30,-77.16,-4.90,28.14,-57.96,-11.16,12.75,-82.00
19971001 18:30,-82.35,-5.78,24.69,-69.87,-4.63,13.54,-72.00
19971001 19:30,-81.17,-5.96,23.18,-69.88,-1.63,14.71,-68.00
19971001 20:30,-71.86,-4.18,24.91,-61.77,-0.88,14.55,-62.00
