date,Bx,By,Bz,Mx,My,Mz,dst
19980311 03:30,-71.95,17.78,28.13,-65.68,22.11,27.67,-85.50
19980311 04:30,-66.87,19.37,29.21,-63.09,19.55,26.83,-85.00
19980311 05:30,-70.65,15.48,27.38,-67.12,11.86,25.68,-80.50
19980311 06:30,-67.16,10.30,23.52,-58.81,7.51,24.38,-71.00
19980311 07:30,-50.61,8.31,23.07,-40.74,3.91,22.53,-66.50
19980311 08:30,-49.62,2.32,25.94,-45.08,3.25,23.09,-63.50
19980311 09:30,-62.36,6.27,29.18,-52.17,9.26,23.29,-60.50
19980311 10:30,-55.97,2.32,32.58,-45.13,5.79,22.60,-60.50
19980311 11:30,-63.98,15.58,34.54,-44.83,17.08,21.96,-59.00
19980311 12:30,-67.33,8.83,31.34,-46.84,7.87,20.98,-57.00
19980311 13:30,-76.75,8.14,28.91,-56.96,14.06,20.78,-58.00
19980311 14:30,-66.95,7.84,29.58,-51.82,11.63,21.31,-60.50
19980311 15:30,-68.88,-1.94,27.42,-55.89,4.14,20.81,-60.50
19980311 16:30,-66.12,16.48,32.61,-42.16,24.28,21.72,-58.00
19980311 17:30,-57.53,9.10,32.59,-45.91,13.06,21.48,-55.00
19980311 18:30,-43.58,2.98,28.86,-39.25,3.41,20.67,-51.50
19980311 21:30,-37.76,6.46,24.91,-33.70,5.75,19.78,-54.00
19980311 22:30,-40.86,17.88,26.63,-36.03,15.58,21.54,-57.50
19980311 23:30,-8.98,28.99,28.24,-11.86,22.04,20.40,-56.00
19980312 00:30,-36.54,30.13,24.36,-33.08,30.04,19.20,-53.50
19980312 01:30,-46.70,20.60,24.12,-41.71,22.74,19.29,-53.50
19980312 02:30,-41.90,14.43,23.93,-40.16,15.91,18.96,-56.50
19980312 03:30,-29.31,12.04,23.09,-33.70,7.15,18.68,-59.00
19980312 04:30,-24.76,20.44,22.26,-27.91,9.73,18.35,-60.00
19980312 05:30,-34.36,19.82,20.32,-31.56,8.50,18.26,-61.00
19980312 06:30,-36.17,11.16,18.44,-34.02,2.35,18.43,-62.00
19980312 07:30,-28.91,2.99,19.01,-27.43,-2.86,18.48,-57.50
19980315 03:30,-16.66,37.56,23.25,-12.96,29.23,19.69,-50.50
19980315 04:30,-30.64,26.29,21.26,-29.67,17.82,19.18,-55.00
19980315 05:30,-37.62,26.22,20.17,-34.12,15.47,19.36,-55.50
19980315 13:30,-69.07,9.20,24.84,-62.91,-1.76,20.79,-50.50
19980321 13:30,-66.18,-8.38,23.38,-54.25,-16.02,15.16,-58.50
19980321 14:30,-104.42,-8.92,27.99,-86.47,-6.81,22.62,-78.00
19980321 15:30,-129.63,-19.93,34.37,-113.34,-10.65,31.03,-83.50
19980321 16:30,-117.07,1.19,37.36,-104.85,17.25,32.50,-73.50
19980321 17:30,-67.37,-3.71,33.49,-59.05,3.01,27.84,-58.50
19980321 18:30,-57.47,2.69,34.32,-50.58,5.76,25.90,-60.00
19980321 19:30,-94.54,39.04,38.03,-69.76,59.86,30.53,-65.50
19980321 20:30,-70.03,32.40,42.22,-60.49,33.12,31.36,-57.50
