date,Bx,By,Bz,Mx,My,Mz,dst
20041109 06:30,-93.40,-11.20,46.73,-109.17,-10.46,43.58,-109.50
20041109 07:30,-89.98,-31.56,35.96,-96.88,-27.39,41.99,-103.50
20041109 13:30,-111.77,-68.99,19.45,-97.52,-63.78,39.93,-112.00
20041109 14:30,-129.44,-59.57,21.43,-114.44,-61.89,44.27,-128.00
20041109 15:30,-97.37,-99.25,35.25,-97.85,-56.75,47.99,-138.50
20041109 16:30,-88.13,-45.42,59.42,-96.18,-30.80,45.72,-134.00
20041109 17:30,-106.60,-12.16,60.44,-104.26,-19.37,46.62,-119.50
20041109 18:30,-107.31,14.75,70.36,-86.92,-3.10,47.58,-108.00
20041109 19:30,-177.88,21.65,36.84,-142.92,-7.74,47.58,-143.50
20041110 00:30,-153.12,-7.89,73.06,-137.68,0.43,61.84,-143.00
20041110 01:30,-145.33,4.01,78.12,-125.78,4.73,61.87,-141.50
20041110 16:30,-179.69,-26.30,59.54,-142.81,-34.50,67.45,-149.50
20041110 17:30,-180.94,-9.18,61.41,-124.32,-24.06,65.60,-126.50
20041110 18:30,NaN,NaN,NaN,NaN,NaN,NaN,-120.00
20041110 19:30,-123.98,0.69,69.27,-105.74,-11.12,61.41,-121.00
20041110 20:30,-130.92,8.27,63.09,-105.19,1.96,57.52,-119.00
20041110 21:30,-124.45,19.93,69.10,-105.44,10.83,54.40,-115.00
20041110 22:30,-113.72,6.80,64.63,-104.87,7.74,52.80,-110.50
20041110 23:30,-117.73,3.68,58.22,-108.08,6.97,51.23,-107.00
20041111 00:30,-117.08,5.18,57.28,-108.23,6.45,49.93,-101.00
20041111 04:30,-105.42,-7.36,50.19,-100.41,-6.69,46.27,-104.50
20041111 05:30,-78.61,-22.62,50.05,-98.75,-8.04,44.03,-104.50
20041111 06:30,-100.97,-4.12,45.28,-97.20,-6.08,42.47,-101.00
20050508 16:30,-85.32,-22.86,-7.22,-98.03,-53.95,9.86,-101.50
20050508 17:30,-57.06,-26.92,25.73,-77.68,-28.90,16.55,-107.50
20050508 18:30,-86.81,-17.88,22.90,-94.99,-24.71,20.50,-108.00
20050508 19:30,-117.08,-15.38,18.33,-98.18,-31.37,26.90,-105.00
20050515 06:30,-9.83,-85.79,-7.55,-121.22,-40.00,27.36,-143.50
20050515 14:30,-127.19,10.09,57.02,-116.17,5.91,49.07,-140.50
20050515 15:30,-126.79,-16.22,50.95,-106.99,0.11,46.43,-126.50
20050515 16:30,-105.81,-27.40,53.62,-91.01,-4.78,42.06,-109.00
20050515 17:30,-81.01,-19.08,59.15,-72.71,-11.57,36.45,-102.50
20050515 18:30,-80.94,-26.11,49.85,-76.78,-30.25,34.03,-110.00
20050515 19:30,-87.20,-43.91,43.09,-88.15,-52.39,36.36,-117.50
20050515 20:30,-88.56,-22.78,51.77,-84.84,-37.49,41.56,-114.00
20050515 21:30,-89.76,-12.83,60.84,-75.25,-27.17,44.87,-101.00
20050515 23:30,-99.22,2.82,57.34,-90.30,-4.18,46.87,-100.50
20050530 10:30,-31.64,22.04,4.44,-83.03,27.10,22.68,-100.50
20050530 11:30,-35.78,11.13,2.26,-82.80,20.45,22.34,-109.00
20050530 12:30,-61.53,10.67,-3.15,-89.12,10.49,21.51,-112.00
20050530 13:30,-73.86,-0.84,4.46,-78.03,2.43,19.98,-109.00
20050530 18:30,-149.66,-8.05,6.08,-102.04,-45.34,22.67,-105.00
20050530 19:30,-147.01,-4.40,19.18,-108.50,-36.90,29.75,-103.50
